,Timestamp,Motion_detection
0,2024-10-14 14:38:44,0
1,2024-10-14 14:38:46,0
2,2024-10-14 14:38:48,0
3,2024-10-14 14:38:52,0
4,2024-10-14 14:39:37,0
5,2024-10-14 14:40:34,1
6,2024-10-14 14:42:26,1
7,2024-10-14 14:43:38,0
8,2024-10-14 14:45:40,1
9,2024-10-14 14:47:10,0
10,2024-10-14 14:47:21,1
11,2024-10-14 14:49:07,0
12,2024-10-14 14:49:16,1
13,2024-10-14 14:50:28,0
14,2024-10-14 16:23:38,1
15,2024-10-14 16:24:51,0
16,2024-10-14 16:25:15,1
17,2024-10-14 16:26:27,0
18,2024-10-14 16:27:00,1
19,2024-10-14 16:28:12,0
20,2024-10-14 18:33:38,1
21,2024-10-14 18:34:50,0
22,2024-10-14 18:39:48,1
23,2024-10-14 18:41:01,0
24,2024-10-14 21:38:23,1
25,2024-10-14 21:39:35,0
26,2024-10-15 08:09:33,1
27,2024-10-15 08:10:47,0
28,2024-10-15 08:10:59,1
29,2024-10-15 08:15:20,0
30,2024-10-15 08:15:27,1
31,2024-10-15 08:16:40,0
32,2024-10-15 08:16:46,1
33,2024-10-15 08:19:09,0
34,2024-10-15 08:19:15,1
35,2024-10-15 08:20:27,0
36,2024-10-15 08:20:34,1
37,2024-10-15 08:22:55,0
38,2024-10-15 08:23:01,1
39,2024-10-15 08:24:14,0
40,2024-10-15 08:24:19,1
41,2024-10-15 08:25:31,0
42,2024-10-15 08:25:37,1
43,2024-10-15 08:27:24,0
44,2024-10-15 08:27:31,1
45,2024-10-15 08:28:43,0
46,2024-10-15 08:28:50,1
47,2024-10-15 08:33:28,0
48,2024-10-15 08:33:36,1
49,2024-10-15 08:34:48,0
50,2024-10-15 08:36:54,1
51,2024-10-15 08:38:07,0
52,2024-10-15 10:26:15,1
53,2024-10-15 10:27:28,0
54,2024-10-15 10:32:02,1
55,2024-10-15 10:33:14,0
56,2024-10-15 10:36:15,1
57,2024-10-15 10:37:28,0
58,2024-10-15 10:37:42,1
59,2024-10-15 10:38:54,0
60,2024-10-15 10:40:18,1
61,2024-10-15 10:41:31,0
62,2024-10-15 11:03:17,1
63,2024-10-15 11:04:29,0
64,2024-10-15 11:18:34,1
65,2024-10-15 11:19:46,0
66,2024-10-15 12:38:46,1
67,2024-10-15 12:39:58,0
68,2024-10-15 16:38:49,1
69,2024-10-15 16:40:02,0
70,2024-10-15 16:49:53,1
71,2024-10-15 16:51:05,0
72,2024-10-15 16:52:51,1
73,2024-10-15 16:54:03,0
74,2024-10-15 17:54:31,1
75,2024-10-15 17:55:43,0
76,2024-10-15 21:10:06,1
77,2024-10-15 21:11:18,0
78,2024-10-15 21:58:57,1
79,2024-10-15 22:00:10,0
80,2024-10-15 22:03:05,1
81,2024-10-15 22:04:18,0
82,2024-10-15 22:05:19,1
83,2024-10-15 22:06:32,0
84,2024-10-15 22:08:04,1
85,2024-10-15 22:09:16,0
86,2024-10-18 13:29:45,1
